run_accession	sample_title	scientific_name	library_layout	fastq_ftp
DRR302386	WT_mock_0h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302386/DRR302386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302386/DRR302386_2.fastq.gz
DRR302389	WT_mock_0.5h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302389/DRR302389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302389/DRR302389_2.fastq.gz
DRR302390	WT_mock_0.5h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302390/DRR302390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302390/DRR302390_2.fastq.gz
DRR302397	WT_AvrRpm1_0.5h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302397/DRR302397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302397/DRR302397_2.fastq.gz
DRR302401	WT_AvrRpm1_3h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302401/DRR302401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302401/DRR302401_2.fastq.gz
DRR302411	clf_mock_3h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302411/DRR302411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302411/DRR302411_2.fastq.gz
DRR302415	clf_AvrRpm1_0.5h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302415/DRR302415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302415/DRR302415_2.fastq.gz
DRR302388	WT_mock_0.5h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302388/DRR302388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302388/DRR302388_2.fastq.gz
DRR302400	WT_AvrRpm1_3h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302400/DRR302400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302400/DRR302400_2.fastq.gz
DRR302405	clf_mock_0h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302405/DRR302405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302405/DRR302405_2.fastq.gz
DRR302407	clf_mock_0.5h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302407/DRR302407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302407/DRR302407_2.fastq.gz
DRR302410	clf_mock_3h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302410/DRR302410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302410/DRR302410_2.fastq.gz
DRR302412	clf_AvrRpm1_0h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302412/DRR302412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302412/DRR302412_2.fastq.gz
DRR302413	clf_AvrRpm1_0h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302413/DRR302413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302413/DRR302413_2.fastq.gz
DRR302414	clf_AvrRpm1_0h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302414/DRR302414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302414/DRR302414_2.fastq.gz
DRR302416	clf_AvrRpm1_0.5h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302416/DRR302416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302416/DRR302416_2.fastq.gz
DRR302417	clf_AvrRpm1_0.5h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302417/DRR302417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302417/DRR302417_2.fastq.gz
DRR302420	clf_AvrRpm1_3h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302420/DRR302420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302420/DRR302420_2.fastq.gz
DRR302385	WT_mock_0h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302385/DRR302385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302385/DRR302385_2.fastq.gz
DRR302387	WT_mock_0h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302387/DRR302387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302387/DRR302387_2.fastq.gz
DRR302391	WT_mock_3h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302391/DRR302391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302391/DRR302391_2.fastq.gz
DRR302392	WT_mock_3h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302392/DRR302392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302392/DRR302392_2.fastq.gz
DRR302393	WT_mock_3h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302393/DRR302393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302393/DRR302393_2.fastq.gz
DRR302394	WT_AvrRpm1_0h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302394/DRR302394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302394/DRR302394_2.fastq.gz
DRR302395	WT_AvrRpm1_0h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302395/DRR302395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302395/DRR302395_2.fastq.gz
DRR302396	WT_AvrRpm1_0h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302396/DRR302396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302396/DRR302396_2.fastq.gz
DRR302398	WT_AvrRpm1_0.5h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302398/DRR302398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302398/DRR302398_2.fastq.gz
DRR302399	WT_AvrRpm1_0.5h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302399/DRR302399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302399/DRR302399_2.fastq.gz
DRR302402	WT_AvrRpm1_3h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302402/DRR302402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302402/DRR302402_2.fastq.gz
DRR302403	clf_mock_0h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302403/DRR302403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302403/DRR302403_2.fastq.gz
DRR302404	clf_mock_0h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302404/DRR302404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302404/DRR302404_2.fastq.gz
DRR302406	clf_mock_0.5h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302406/DRR302406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302406/DRR302406_2.fastq.gz
DRR302408	clf_mock_0.5h_3	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302408/DRR302408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302408/DRR302408_2.fastq.gz
DRR302409	clf_mock_3h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302409/DRR302409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302409/DRR302409_2.fastq.gz
DRR302418	clf_AvrRpm1_3h_1	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302418/DRR302418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302418/DRR302418_2.fastq.gz
DRR302419	clf_AvrRpm1_3h_2	Arabidopsis thaliana	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302419/DRR302419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302419/DRR302419_2.fastq.gz
