sample_id,run,genotype,condition,time,replicate,layout,fastq_1,fastq_2,batch
DRR302386,DRR302386,WT,mock,0h,2,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302386/DRR302386_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302386/DRR302386_2.fastq.gz,B1
DRR302389,DRR302389,WT,mock,0.5h,2,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302389/DRR302389_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302389/DRR302389_2.fastq.gz,B1
DRR302390,DRR302390,WT,mock,0.5h,3,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302390/DRR302390_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302390/DRR302390_2.fastq.gz,B1
DRR302397,DRR302397,WT,AvrRpm1,0.5h,1,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302397/DRR302397_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302397/DRR302397_2.fastq.gz,B1
DRR302401,DRR302401,WT,AvrRpm1,3h,2,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302401/DRR302401_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302401/DRR302401_2.fastq.gz,B1
DRR302411,DRR302411,clf,mock,3h,3,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302411/DRR302411_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302411/DRR302411_2.fastq.gz,B1
DRR302415,DRR302415,clf,AvrRpm1,0.5h,1,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302415/DRR302415_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302415/DRR302415_2.fastq.gz,B1
DRR302388,DRR302388,WT,mock,0.5h,1,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302388/DRR302388_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302388/DRR302388_2.fastq.gz,B1
DRR302400,DRR302400,WT,AvrRpm1,3h,1,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302400/DRR302400_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302400/DRR302400_2.fastq.gz,B1
DRR302405,DRR302405,clf,mock,0h,3,PAIRED,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302405/DRR302405_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/DRR302/DRR302405/DRR302405_2.fastq.gz,B1
