"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G04140",4003.82180526792,-1.21881482066899,0.154193085409381,158.375766513059,4.06573686942051e-35,6.76945188758516e-31
"AT2G37710",4010.27684144751,1.10955082167625,0.179225289536766,144.702484110701,3.78664696027715e-32,3.15238359443073e-28
"AT4G25100",2100.87520335326,-1.34532011114534,0.196239537723337,119.895441473015,9.22647228360983e-27,5.12069211740346e-23
"AT5G23120",890.466923092003,-1.32568274192658,0.162968031313801,110.527708205122,9.98189769743084e-25,4.15496491655559e-21
"AT3G18890",485.198415301492,-1.84705867135644,0.232721560498723,107.696177283701,4.11218118633523e-24,1.36935633504963e-20
"AT2G43750",560.818525856784,-1.00774918202277,0.185844174666079,101.092051307895,1.11722327915189e-22,3.1002945996465e-19
"AT5G02480",233.497169103391,1.69755870428053,0.187322517721129,99.173506559096,2.91572576943678e-22,6.93526200873176e-19
"AT3G63520",1060.08792026576,-1.03988649157324,0.135754177369286,91.094987015493,1.65567429049491e-20,3.44587211709254e-17
"AT5G35630",5204.96736579488,-1.07443274606308,0.180555268036146,84.2412001876633,5.09630961579152e-19,9.42817278921431e-16
"AT5G13630",6791.5282202858,-0.865946423844093,0.180154591039065,83.4147611366604,7.70397322141111e-19,1.28271154136495e-15
"AT5G43745",98.0516633184724,-2.13426692689033,0.297793874501886,80.0588419648726,4.12518427475412e-18,6.24402892496874e-15
"AT3G01500",8081.18178936501,-1.5825856389304,0.271602268686537,78.9464269690459,7.19450967048299e-18,9.98238216779515e-15
"AT1G08520",652.163498594827,-0.856917482174376,0.156234382916915,78.0446336313897,1.12933590492114e-17,1.44641867822592e-14
"AT1G31800",249.986910968843,-1.49964800955436,0.240591764032124,75.0595468873166,5.02373226850071e-17,5.57634281803579e-14
"AT4G34230",1625.17903820382,-0.0534788618721396,0.29210182092001,75.0603848109699,5.02162795729662e-17,5.57634281803579e-14
"AT1G12800",581.195035506482,-0.911623870208826,0.174520581353632,74.438442669337,6.85326544668372e-17,7.13167935545525e-14
"AT2G14890",106.510637966267,-2.25421761223029,0.325888233953793,73.5168451712152,1.08647542536763e-16,1.04698305650547e-13
"AT4G28080",925.209993902146,-0.743800589282952,0.243954381115005,73.4349743951518,1.1318735746005e-16,1.04698305650547e-13
"AT1G07570",282.462611845232,1.2403522117246,0.200653281232829,72.485485727562,1.81960350711867e-16,1.59454728386978e-13
"AT2G41250",213.081771670153,2.13396529707827,0.254305604735279,70.6076672349379,4.65307304138169e-16,3.87368330695026e-13
"AT5G20280",308.752661916328,-1.05547445453762,0.197501555224357,69.7578799481232,7.11653901499855e-16,5.64239879046313e-13
"AT4G16155",161.074656193063,-1.80349966457291,0.295690311337299,69.4779914405186,8.18551204360668e-16,6.19494434209324e-13
"AT4G30190",2755.00347559948,1.57849852934895,0.229641081317763,68.6784326475527,1.22086554600648e-15,8.83800493087297e-13
"AT4G01310",502.430760350315,-1.3267448735143,0.242624221506005,68.4039840430823,1.40043705965526e-15,9.71553210135837e-13
"AT4G36220",581.43135303047,1.00171265222774,0.20566787365932,68.3194399138004,1.46090548401582e-15,9.72963052354536e-13
"AT2G47940",399.939402675111,-0.88756722515445,0.216000911975512,67.7178658932365,1.973568742488e-15,1.26384306009328e-12
"AT3G29320",285.391259896243,-1.21648827725957,0.219642838562938,67.0689186144267,2.73004225663334e-15,1.68352605825722e-12
"AT2G43510",264.946152214769,0.632920144374544,0.31390166701576,66.7606939459412,3.18492716917005e-15,1.89389419166719e-12
"AT1G80380",782.094219364031,-0.963602047648464,0.160052342037092,65.3076438927118,6.58605443088444e-15,3.78130366462848e-12
"AT2G32880",113.241903600373,-1.98061387380478,0.333708541043566,64.771505062046,8.6108571289686e-15,4.77902570657757e-12
"AT3G11630",1772.38188228812,-1.1916152587365,0.216800164448576,63.8292746463921,1.37926945521731e-14,7.40801175140911e-12
"AT4G23200",573.068180196512,-0.448221882067069,0.173060603405261,63.6662495616171,1.49640643096676e-14,7.78598971112392e-12
"AT5G62670",210.059776879314,-2.19723117635395,0.335451452025836,62.753200756709,2.36219417805003e-14,1.19183433528888e-11
"AT1G13080",297.047262496571,1.81240050061539,0.257161312192525,62.2824068652302,2.98914642273956e-14,1.46380258642982e-11
"AT1G77490",578.250997594228,-0.954791539430914,0.165065117160004,62.0628287084148,3.33601488931088e-14,1.58698994020075e-11
"AT1G74970",507.372121128524,-1.23128759799696,0.218951615110523,61.8598970095501,3.69227499225021e-14,1.70767718391572e-11
"AT1G48600",334.624890346133,-1.59632353917778,0.248444256938926,61.4074456354473,4.62959080060262e-14,2.0284917586851e-11
"AT5G03940",236.616983207084,-1.09743326980582,0.259342301336169,61.4518742879954,4.52788144500985e-14,2.0284917586851e-11
"AT4G27450",104.936721657979,2.61976859429852,0.354020385282815,61.0309955377105,5.58840286275486e-14,2.38581814525303e-11
"AT3G52060",167.978295559162,1.71461731933088,0.22207885753404,60.821083148019,6.20682645765838e-14,2.52057708585395e-11
"AT3G55130",580.602318952075,0.892390327852846,0.271799138245753,60.838728305891,6.15230709562018e-14,2.52057708585395e-11
"AT2G41410",1754.00947091541,-0.445224736951934,0.143993435374644,60.3477349819638,7.86422356167654e-14,3.11760291195034e-11
"AT1G21550",228.091123545318,0.6403135974089,0.281476417944574,60.0780512579818,8.99946987591917e-14,3.48467845195475e-11
"AT3G50240",90.5443917045793,-1.77888241754834,0.342743987886109,60.0137149873754,9.29367264846475e-14,3.51681021811223e-11
"AT4G33010",5902.09004752021,-0.992887113614256,0.201428404012827,59.7552845912782,1.05755951919744e-13,3.91297022103051e-11
"AT2G40840",267.254957490677,-1.2791663370677,0.250878002449377,58.815948354302,1.69152760978981e-13,6.12259450065226e-11
"AT5G46110",3923.5103796881,-0.602666542571948,0.173765584735463,58.2324302121097,2.26458405720404e-13,8.02240947924411e-11
"AT3G25860",155.726647006781,-1.21651994316098,0.232092167024653,57.9715622914739,2.58009201541132e-13,8.94969417845802e-11
"AT5G24210",2135.72574244576,0.974373435405632,0.242820673385071,57.738948112383,2.8983225909501e-13,9.84838186516718e-11
"AT3G26170",81.9595802702434,1.19601895176706,0.301971267600565,57.0419348168545,4.10677808638996e-13,1.36755710276786e-10
"AT2G05990",181.208118168269,-1.60599750771647,0.305960469069616,56.8386888151764,4.5460639895102e-13,1.48415618481068e-10
"AT4G23670",238.909497938512,-1.03283724159271,0.340699759626908,56.1458029544191,6.42826537798707e-13,2.05828112583625e-10
"AT1G34430",165.505784667002,-1.49394121072356,0.262068315680182,55.7820248364108,7.71058292225942e-13,2.42228689916263e-10
"AT1G71030",427.930265099409,1.95196711193235,0.28695180009981,55.3598754861035,9.5226051908792e-13,2.93613660052109e-10
"AT2G39800",273.111715105131,-2.07664563112963,0.297885029693306,54.8405492614897,1.23459932616295e-12,3.73746886920239e-10
"AT3G56040",209.61828175144,-0.930358323392829,0.246629415058963,54.7939857881327,1.26368015511171e-12,3.75719188975178e-10
"AT4G01800",684.539647785752,-0.606504965181512,0.151250225358732,54.4937897406419,1.46833080029541e-12,4.21512203877908e-10
"AT5G49910",2088.78820098133,-1.2410953355055,0.193407775450357,54.4939432496907,1.46821810358824e-12,4.21512203877908e-10
"AT4G37930",7092.46351977374,-0.972737109211692,0.175103248737221,54.2302867942078,1.67510813068237e-12,4.72721192811211e-10
"AT4G24120",195.527135113761,1.52151645073102,0.305820377248892,54.1484335369327,1.7450868888678e-12,4.81023893848825e-10
"AT5G59250",292.496831364942,-1.0321396275232,0.200696461604393,54.1287916058609,1.76230976124795e-12,4.81023893848825e-10
"AT1G76360",378.439545353521,0.784778318479661,0.209727407112164,53.7110433541678,2.17167647596806e-12,5.68933436319606e-10
"AT5G43630",292.07176373962,1.5788059243292,0.258206900136782,53.6970801686307,2.18689128675404e-12,5.68933436319606e-10
"AT5G54160",2251.6147040874,0.522678142829733,0.278738900766338,53.6974236446706,2.18651574662274e-12,5.68933436319606e-10
"AT4G25640",1704.23823641694,0.266375032234264,0.145710272934967,53.6304980919097,2.26092058756329e-12,5.79143504352751e-10
"AT3G18830",831.607420103003,0.466723665403197,0.191809606926859,53.5956407727897,2.30067079297585e-12,5.80396495500726e-10
"AT2G43560",338.88337578746,-1.03714850747584,0.215412800190035,53.5183638316652,2.39130489972153e-12,5.94257113139754e-10
"AT2G04780",98.0875887858608,-1.95198287506869,0.341337998725834,53.3112002671968,2.65228354049368e-12,6.4941942572382e-10
"AT5G46510",440.415224891712,-1.85654047901991,0.286667541960088,52.8044543841929,3.41710576017492e-12,8.24562476911774e-10
"AT1G32080",742.999379764006,-0.860978803241172,0.198375167151259,52.497090926822,3.98475429357261e-12,9.47802271256914e-10
"AT4G12470",1146.25118927946,2.36554396639963,0.56455014397833,52.4150456926016,4.15161854739226e-12,9.73583786113819e-10
"AT5G49030",249.184591423726,-0.967216431659921,0.194903010859712,52.0456427722351,4.99381291804366e-12,1.1548192372976e-09
"AT3G62030",1609.41465755016,-1.1724297477926,0.243538589848395,51.8704585266131,5.45096061415894e-12,1.24326704418831e-09
"AT4G01050",1817.47030973162,-0.972733062974625,0.189780015428243,51.3632944016953,7.02428840256732e-12,1.58046489057765e-09
"AT1G17650",80.0666880441207,-1.87892634637098,0.366607795602041,51.2707023601993,7.35713018237502e-12,1.63328290048725e-09
"AT5G01590",175.01240264463,-1.21303143671186,0.279353074976634,50.9241836348268,8.74891155147818e-12,1.91670233331726e-09
"AT1G32700",420.632335379149,0.935513693474875,0.200599064755552,50.4998278024871,1.08168728364942e-11,2.33897315230687e-09
"AT3G56360",364.396474783744,-1.59716201523406,0.252564443954693,50.4386216324005,1.11530198491889e-11,2.38074077549995e-09
"AT4G22190",147.179011247593,1.45080326967915,0.219768506081862,50.1585742818141,1.28293302452165e-11,2.70390314661841e-09
"AT2G47590",223.699596451776,-1.18390398290409,0.241772190684782,50.1320049820569,1.30009005078888e-11,2.70581241820436e-09
"AT3G15520",201.514426256262,-1.1733322929571,0.279905762554673,49.8338132977449,1.50912403626043e-11,3.10208829675756e-09
"AT1G23310",13254.7520231693,-0.568453568281563,0.120459945846076,49.6803093267263,1.6295132646335e-11,3.29845887261753e-09
"AT2G31570",822.410644113061,1.05791359231291,0.187138488329193,49.6622707469321,1.64427679535889e-11,3.29845887261753e-09
"AT3G25920",713.715828821281,-1.44550517546479,0.307026553290437,49.5171595000061,1.76801292185713e-11,3.50445418439539e-09
"AT5G16390",281.621244775676,-1.14633045943238,0.20692282437634,49.4785226855062,1.80250016223301e-11,3.53077972955054e-09
"AT5G57030",259.728274150163,-0.356367139465823,0.205297398660002,49.3442411215713,1.9276766358922e-11,3.73207162646571e-09
"AT5G13180",430.670130955197,0.792153984505438,0.244073920631402,48.8930088469068,2.41556109956206e-11,4.6228841732998e-09
"AT1G23390",607.818622873534,1.81439553137326,0.258185430880782,48.7506571164999,2.59375715794984e-11,4.85236591908594e-09
"AT1G58080",278.194610420047,-0.967806193101178,0.186464017554239,48.7648068117115,2.57547148178875e-11,4.85236591908594e-09
"AT3G11420",289.43647084041,-1.68557665752013,0.242791497806738,48.5149036031269,2.91825029130099e-11,5.39876303890684e-09
"AT2G39850",428.971774961362,-1.65094319417869,0.2494814152496,48.4204223910281,3.05941838433685e-11,5.59772704386907e-09
"AT3G03250",314.125758284754,-1.1822153319128,0.224934396182742,48.394273026517,3.09968195068965e-11,5.60975048684594e-09
"AT3G04340",178.702676821274,-1.08418212194779,0.24369407719263,48.0591555104227,3.66510970383123e-11,6.56172866331074e-09
"AT3G56130",71.755833690007,-1.02274571388263,0.349294612396793,47.7693713465032,4.23655462165899e-11,7.42511941585497e-09
"AT5G23060",632.073583818707,-1.37678178949806,0.337201015391727,47.7899415431129,4.19320455290262e-11,7.42511941585497e-09
"AT4G02530",412.281783100585,-1.03157011019089,0.216698708830978,47.5666522521085,4.68848684878859e-11,8.13159437836771e-09
"AT4G36850",15.6054129551798,-1.91655709054737,1.41168245316775,47.3038919769645,5.34675606732709e-11,9.08402944091796e-09
"AT5G55530",273.729157112423,0.924813161652206,0.178148175847766,47.3224610724169,5.29734359661843e-11,9.08402944091796e-09
"AT5G14060",408.246875271209,-0.86465766833816,0.253251788527877,46.8991131779356,6.54616534022089e-11,1.10094598903715e-08
